id;name;country;circuit;date
01;Australian Grand Prix;AUS;Albert Park Circuit, Melbourne;2026-03-08T04:00:00Z
02S;Chinese Sprint;CHN;Shanghai International Circuit, Shanghai;2026-03-14T03:00:00Z
02;Chinese Grand Prix;CHN;Shanghai International Circuit, Shanghai;2026-03-15T07:00:00Z
03;Japanese Grand Prix;JPN;Suzuka Circuit, Suzuka;2026-03-29T06:00:00Z
04;Bahrain Grand Prix;BHR;Bahrain International Circuit, Sakhir;2026-04-12T16:00:00Z
05;Saudi Arabian Grand Prix;SAU;Jeddah Corniche Circuit, Jeddah;2026-04-19T18:00:00Z
06S;Miami Sprint;USA;Miami International Autodrome, Miami Gardens, Florida;2026-05-02T17:00:00Z
06;Miami Grand Prix;USA;Miami International Autodrome, Miami Gardens, Florida;2026-05-03T21:00:00Z
07S;Canadian Sprint;CAN;Circuit Gilles Villeneuve, Montreal;2026-05-23T17:00:00Z
07;Canadian Grand Prix;CAN;Circuit Gilles Villeneuve, Montreal;2026-05-24T21:00:00Z
08;Monaco Grand Prix;MON;Circuit de Monaco, Monaco;2026-06-07T14:00:00Z
09;Barcelona-Catalunya Grand Prix;ESP;Circuit de Barcelona-Catalunya, Montmeló;2026-06-14T14:00:00Z
10;Austrian Grand Prix;AUT;Red Bull Ring, Spielberg;2026-06-28T14:00:00Z
11S;British Sprint;GBR;Silverstone Circuit, Silverstone;2026-07-04T12:00:00Z
11;British Grand Prix;GBR;Silverstone Circuit, Silverstone;2026-07-05T15:00:00Z
12;Belgian Grand Prix;BEL;Circuit de Spa-Francorchamps, Stavelot;2026-07-19T14:00:00Z
13;Hungarian Grand Prix;HUN;Hungaroring, Mogyoród;2026-07-26T14:00:00Z
14S;Dutch Sprint;NLD;Circuit Zandvoort, Zandvoort;2026-08-22T14:00:00Z
14;Dutch Grand Prix;NLD;Circuit Zandvoort, Zandvoort;2026-08-23T14:00:00Z
15;Italian Grand Prix;ITA;Monza Circuit, Monza;2026-09-06T14:00:00Z
16;Spanish Grand Prix;ESP;Madring, Madrid;2026-09-13T14:00:00Z
17;Azerbaijan Grand Prix;AZE;Baku City Circuit, Baku;2026-09-26T12:00:00Z
18S;Singapore Sprint;SGP;Marina Bay Street Circuit, Singapore;2026-10-10T10:00:00Z
18;Singapore Grand Prix;SGP;Marina Bay Street Circuit, Singapore;2026-10-11T13:00:00Z
19;United States Grand Prix;USA;Circuit of the Americas, Austin, Texas;2026-10-25T20:00:00Z
20;Mexico City Grand Prix;MEX;Autódromo Hermanos Rodríguez, Mexico City;2026-11-01T20:00:00Z
21;São Paulo Grand Prix;BRA;Interlagos Circuit, São Paulo;2026-11-08T17:00:00Z
22;Las Vegas Grand Prix;USA;Las Vegas Strip Circuit, Paradise, Nevada;2026-11-22T04:00:00Z
23;Qatar Grand Prix;QAT;Lusail International Circuit, Lusail;2026-11-29T16:00:00Z
24;Abu Dhabi Grand Prix;ARE;Yas Marina Circuit, Abu Dhabi;2026-12-06T13:00:00Z